product_id,product_name,category,start_date,usd_price
1,Transponder AIS Maré Magnum,eletrônicos,2016-10-08,10583.63
1,Transponder AIS Maré Magnum,eletrônicos,2018-06-15,8778.36
1,Transponder AIS Maré Magnum,eletrônicos,2018-09-25,8023.87
1,Transponder AIS Maré Magnum,eletrônicos,2019-03-19,8772.78
1,Transponder AIS Maré Magnum,eletrônicos,2020-01-17,7918.18
1,Transponder AIS Maré Magnum,eletrônicos,2020-06-17,6310.01
1,Transponder AIS Maré Magnum,eletrônicos,2021-02-07,6586.7
1,Transponder AIS Maré Magnum,eletrônicos,2022-05-16,6538.2
1,Transponder AIS Maré Magnum,eletrônicos,2023-02-28,6360.91
1,Transponder AIS Maré Magnum,eletrônicos,2023-10-17,6574.8
1,Transponder AIS Maré Magnum,eletrônicos,2024-02-16,6657.12
1,Transponder AIS Maré Magnum,eletrônicos,2024-02-22,6703.2
1,Transponder AIS Maré Magnum,eletrônicos,2024-03-15,6633.66
1,Transponder AIS Maré Magnum,eletrônicos,2024-02-08,5774.5
1,Transponder AIS Maré Magnum,eletrônicos,2025-08-04,5579.75
2,Transponder Furuno Marlin,eletrônicos,2017-11-23,4325.09
2,Transponder Furuno Marlin,eletrônicos,2022-06-07,2577.22
2,Transponder Furuno Marlin,eletrônicos,2023-05-24,2829.74
2,Transponder Furuno Marlin,eletrônicos,2025-05-11,2602.27
3,Radar Furuno Pulse Leviathan,eletrônicos,2016-12-04,2549.21
3,Radar Furuno Pulse Leviathan,eletrônicos,2018-07-26,2423.45
3,Radar Furuno Pulse Leviathan,eletrônicos,2019-06-27,2335.69
3,Radar Furuno Pulse Leviathan,eletrônicos,2019-07-17,2399.28
3,Radar Furuno Pulse Leviathan,eletrônicos,2019-10-14,2187.31
3,Radar Furuno Pulse Leviathan,eletrônicos,2020-04-12,1745.49
3,Radar Furuno Pulse Leviathan,eletrônicos,2022-06-21,1753.77
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2016-04-03,909.55
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2016-11-22,1010.42
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2017-04-19,1080.89
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2018-11-22,887.7
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2022-09-21,654.31
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2023-11-28,692.14
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2024-03-13,679.13
4,Rádio AIS Hydro Tidal Zen,eletrônicos,2025-10-03,583.85
5,Piloto Automático Furuno Storm,eletrônicos,2016-10-02,6006.45
5,Piloto Automático Furuno Storm,eletrônicos,2017-01-17,7374.9
5,Piloto Automático Furuno Storm,eletrônicos,2021-02-18,4364.4
5,Piloto Automático Furuno Storm,eletrônicos,2022-03-05,4718.61
5,Piloto Automático Furuno Storm,eletrônicos,2022-05-24,4920.79
5,Piloto Automático Furuno Storm,eletrônicos,2023-08-15,4752.24
5,Piloto Automático Furuno Storm,eletrônicos,2024-09-24,4327.37
5,Piloto Automático Furuno Storm,eletrônicos,2025-07-24,4285.3
6,Transponder AIS Vector,eletrônicos,2020-07-23,2288.92
6,Transponder AIS Vector,eletrônicos,2021-01-12,2104.66
6,Transponder AIS Vector,eletrônicos,2024-07-03,2394.79
6,Transponder AIS Vector,eletrônicos,2024-06-21,2172.43
6,Transponder AIS Vector,eletrônicos,2024-04-12,1951.33
6,Transponder AIS Vector,eletrônicos,2025-03-19,2086.5
7,Radar AIS Zen,eletrônicos,2016-10-26,6253.41
7,Radar AIS Zen,eletrônicos,2017-06-21,5871.9
7,Radar AIS Zen,eletrônicos,2018-08-05,5454.91
7,Radar AIS Zen,eletrônicos,2022-12-12,3678.62
7,Radar AIS Zen,eletrônicos,2025-08-18,3604.64
8,GPS AIS Zen,eletrônicos,2019-06-12,1193.04
8,GPS AIS Zen,eletrônicos,2020-06-19,932.31
8,GPS AIS Zen,eletrônicos,2021-02-18,919.04
8,GPS AIS Zen,eletrônicos,2021-06-08,951.1
8,GPS AIS Zen,eletrônicos,2023-03-23,947.09
8,GPS AIS Zen,eletrônicos,2023-10-05,1006.07
8,GPS AIS Zen,eletrônicos,2024-04-16,947.05
8,GPS AIS Zen,eletrônicos,2025-03-06,879.22
9,Transponder AIS Titan Pulse,eletrônicos,2018-12-26,10115.54
9,Transponder AIS Titan Pulse,eletrônicos,2020-05-21,7088.62
9,Transponder AIS Titan Pulse,eletrônicos,2020-10-12,7808.97
9,Transponder AIS Titan Pulse,eletrônicos,2022-05-05,7933.96
9,Transponder AIS Titan Pulse,eletrônicos,2024-04-16,7544.56
9,Transponder AIS Titan Pulse,eletrônicos,2024-08-21,7258.64
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2018-05-29,8591.86
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2021-11-16,5849.07
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2021-12-20,5615.0
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2023-05-23,6449.43
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2023-06-29,6594.15
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2023-05-09,6445.41
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2023-11-13,6505.49
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2023-11-24,6547.91
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2024-07-10,5864.71
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2025-03-21,5596.76
10,Piloto Automático Simrad Titan Flux Magnum,eletrônicos,2025-01-10,6021.02
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2016-02-18,9039.0
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2016-07-10,11277.36
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2016-10-14,11372.94
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2018-04-23,10527.94
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2019-10-15,8734.37
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2020-01-13,8772.22
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2020-11-27,6773.84
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2021-05-14,6875.78
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2022-01-27,6733.8
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2023-03-15,6839.44
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2023-09-05,7246.24
11,GPS Furuno Swift Leviathan Poseidon,eletrônicos,2025-05-20,6399.81
12,GPS AIS Drift Flux Vox,eletrônicos,2016-03-02,689.26
12,GPS AIS Drift Flux Vox,eletrônicos,2016-03-21,752.61
12,GPS AIS Drift Flux Vox,eletrônicos,2017-09-22,871.57
